Name of Monitoring Station,Year,Sampling Month,pH,BOD (mg/L),COD (mg/L),Total Dissolved Solids,Total Coliform (MPN/100),Latitude,Longitude
"Parappana Agrahara Chikka Kere, Near Central Jail, Sai Sree Layout Parappana Agrahara,",2025,June,7.8,4.0,40.0,516.0,3500.0,13.180958,77.385641
"Vittasandra Lake, Vittasandra,",2025,June,7.5,5.0,48.0,582.0,1700.0,12.85804363,77.62274884
"Akshyanagara Lake, Akshyanagara West, Bengaluru",2025,June,8.0,5.0,60.0,284.0,2800.0,12.87179,77.614335
"Yallenahalli Lake, Begur-Koppa Rd, Akshayanagara, Bengaluru",2025,June,7.8,5.0,48.0,286.0,7000.0,13.096127,77.585434
Doddagubbi Lake,2025,June,8.2,4.0,40.0,1932.0,3500.0,13.0744063,77.67245104
Chikkagubi Lake,2025,June,8.4,450.0,1488.0,8690.0,130000.0,13.07683052,77.673996
Vijanapura Lake,2025,June,8.4,6.0,72.0,284.0,12000.0,13.00925,77.676796
Cheemasandra,2025,June,8.5,8.0,88.0,534.0,1500.0,13.06569,77.723786
Leghumenahalli Lake,2025,June,8.2,5.0,60.0,532.0,1700.0,13.01979254,77.46222486
Varanasi Lake,2025,June,7.5,4.0,48.0,260.0,2100.0,13.026885,77.68704005
Gangashetty Lake,2025,June,7.6,6.0,64.0,654.0,2400.0,13.01873035,77.69881133
Panathur Lake,2025,June,7.6,4.0,44.0,386.0,1600.0,12.9321787,77.70710816
Garudacharpalya Lake-2,2025,June,7.3,6.0,61.0,439.0,1400.0,12.990651,77.69604
Mahadevapura Lake-2,2025,June,7.2,17.0,167.0,180.0,3500.0,12.987222,77.69263918
B- Narayannapura Lake-2,2025,June,7.1,5.0,60.0,270.0,11000.0,12.996508,77.6827584
Halnayakanahalli Lake,2025,June,7.8,5.0,56.0,380.0,4300.0,12.89981,77.691348
"Ulsoor Lake Training Centre Of Fish
Breeding",2025,May,7.3,5.0,54.0,352.0,7000.0,12.805044,77.362577
"River Arkavathi At Tippagondanahalli
Reservoir",2025,May,7.5,6.0,55.0,682.0,4300.0,13.041827,77.33986
Madiwala Tank,2025,May,6.9,5.0,54.0,390.0,3500.0,12.9734,77.3444
Lalbagh Tank,2025,May,8.1,6.0,72.0,452.0,3500.0,12.9069,77.6161
Kempambudhi Tank,2025,May,8.0,7.0,69.0,400.0,2200.0,12.9507,77.5844
Yediyur Tank,2025,May,7.0,6.0,64.0,214.0,2400.0,12.9575,77.5645
Ulsoor Lake Temple,2025,May,7.4,18.0,160.0,344.0,13000.0,12.9288,77.5794
Sankey Tank,2025,May,7.2,5.0,52.0,392.0,3500.0,12.982,77.621
Byrasandra Tank,2025,May,6.6,42.0,196.0,496.0,11000.0,13.0064,77.5755
Nayandanahalli Tank,2025,May,8.3,4.0,47.0,526.0,920.0,13.1162,77.5759
Hesaraghatta Lake,2025,May,6.9,5.0,56.0,248.0,2400.0,13.0415,77.6152
Herohalli Tank,2025,May,7.0,5.0,48.0,322.0,7900.0,13.1368,77.4851
Anchepalya Lake,2025,May,6.6,12.0,121.0,354.0,9400.0,13.0012,77.4842
Shivapura Tank,2025,May,6.9,20.0,148.0,362.0,7900.0,13.0456,77.4828
Bellandur Lake,2025,May,7.5,5.0,58.0,596.0,1600.0,13.0189,77.4912
Vengaiyyanakere,2025,May,7.1,32.0,212.0,786.0,6300.0,13.095412,77.359626
Doddanekkundi Lake,2025,May,6.8,6.0,56.0,360.0,11000.0,13.0062,77.6811
Yelemallappa Shetty Lake,2025,May,6.8,25.0,174.0,500.0,4800.0,12.9714,77.6953
Dasarahalli Tank,2025,May,6.9,6.0,61.0,312.0,3500.0,13.0232,77.7288
Kalkere Tank,2025,May,7.8,6.0,64.0,666.0,4600.0,13.0435,77.5141
Varthur Lake,2025,May,7.6,6.0,61.0,476.0,920.0,13.0287,77.6685
Ibbalur Lake,2025,May,7.4,6.0,58.0,612.0,3500.0,12.922,77.666
Tubarahalli Tank,2025,May,7.2,7.0,68.0,472.0,1600.0,12.958187,77.725785
Kaikondanahalli Lake,2025,May,7.1,6.0,60.0,600.0,1700.0,12.91627,77.737065
Agaram Lake,2025,May,7.7,5.0,49.0,592.0,4300.0,12.921,77.641
Gottigere Lake,2025,May,7.5,4.0,40.0,398.0,3500.0,12.8552,77.5878
Puttenahalli Lake,2025,May,7.6,8.0,78.0,458.0,2800.0,12.8985,77.5849
Puttenahalli Lake,2025,May,7.6,8.0,78.0,458.0,2800.0,12.89072263,77.5871604
Arakere Lake,2025,May,8.1,5.0,60.0,356.0,3500.0,12.8765,77.5991
Kalena Agrahara Lake,2025,May,8.0,10.0,97.0,476.0,920.0,12.8624,77.5956
Singasandra Lake,2025,May,8.2,5.0,48.0,528.0,1700.0,12.8872,77.6493
Begur Tank,2025,May,7.7,9.0,89.0,984.0,2400.0,12.8814,77.6325
Parappana Agrahara Lake,2025,May,7.8,6.0,52.0,594.0,2200.0,12.8879,77.6591
Haralur Lake,2025,May,7.2,9.0,88.0,560.0,1400.0,12.89829,77.66142
Somasundrapalya Lake,2025,May,8.1,8.0,72.0,404.0,1700.0,12.89872064,77.64800365
Anekal Doddakere Tank,2025,May,7.7,6.0,56.0,664.0,2100.0,12.87466479,77.78340625
Puttenahalli Lake,2025,May,7.0,7.0,70.0,488.0,7000.0,12.8985,77.5849
Puttenahalli Lake,2025,May,7.0,7.0,70.0,488.0,7000.0,12.89072263,77.5871604
Hebbal Lake,2025,May,8.4,8.0,90.0,418.0,7900.0,13.04697661,77.58600905
Nagavara Lake,2025,May,8.0,8.0,75.0,250.0,7000.0,13.0449046,77.60895858
Jakkur Lake,2025,May,7.3,18.0,127.0,630.0,11000.0,13.08770697,77.61004718
Amruthahalli Lake,2025,May,7.3,6.0,61.0,414.0,17000.0,13.06138758,77.5987903
Allalasandra Lake,2025,May,8.5,26.0,175.0,330.0,9400.0,13.09078569,77.58580537
Yelahanka Tank,2025,May,7.5,21.0,118.0,584.0,46000.0,13.0901,77.5925
Subramanyapura Tank,2025,May,8.0,20.0,151.0,538.0,11000.0,12.89668663,77.54331633
Devarakere Tank,2025,May,7.9,8.0,84.0,238.0,13000.0,12.89808367,77.5543472
Malathahalli Lake,2025,May,7.8,24.0,169.0,384.0,3500.0,12.96467512,77.49507669
Hoskere Lake,2025,May,6.6,5.0,52.0,254.0,7900.0,12.92672778,77.48054898
Yelachenahalli Lake,2025,May,8.2,6.0,52.0,534.0,2200.0,12.89926437,77.56547215
Kengeri Tank,2025,May,7.5,8.0,93.0,606.0,1600.0,12.91685922,77.48789417
Uttarahalli Doraikere,2025,May,8.0,28.0,186.0,242.0,13000.0,12.90305626,77.55084832
Dhorekere Tank,2025,May,8.5,25.0,174.0,282.0,7000.0,12.93017436,77.494945
Jigani Tank,2025,May,7.6,4.0,40.0,668.0,3500.0,12.79585704,77.63284772
Benniganahalli Lake,2025,May,7.5,15.0,162.0,326.0,13000.0,12.99772381,77.66545556
Gangondanahalli Lake,2025,May,6.6,7.0,68.0,396.0,46000.0,12.99954081,77.4646815
Andhrahalli Lake,2025,May,7.1,9.0,95.0,514.0,920.0,13.01026314,77.48646759
Kachohalli Lake,2025,May,6.6,6.0,60.0,786.0,4800.0,13.01365684,77.45596987
Sarakki Lake,2025,May,8.2,6.0,52.0,534.0,2200.0,12.89941681,77.57913342
Nelamangala Lake,2025,May,6.9,38.0,250.0,852.0,7900.0,13.08073442,77.40002615
Abbigere Lake,2025,May,7.5,7.0,72.0,508.0,7000.0,13.0791175,77.52872073
Chelekere Lake,2025,May,7.2,6.0,61.0,392.0,13000.0,13.02641201,77.6449817
Singapura Lake,2025,May,8.4,7.0,71.0,414.0,7900.0,13.08266187,77.53568704
Narasipura Lake,2025,May,7.4,11.0,110.0,662.0,12000.0,13.07260237,77.55884035
Rachenahalli Lake,2025,May,7.6,9.0,97.0,784.0,4600.0,13.06365337,77.61270948
Kogilu Kere,2025,May,7.6,5.0,52.0,324.0,4800.0,13.11015107,77.61852742
Viswaneedam Lake,2025,May,6.8,21.0,164.0,396.0,4300.0,12.98884671,77.49016012
Ramammana Kere,2025,May,6.7,5.0,52.0,250.0,1600.0,12.96089629,77.22799123
Sadaramangala Lake,2025,May,8.1,8.0,80.0,352.0,1600.0,12.99966199,77.72775764
Bhattarahalli Lake,2025,May,8.5,15.0,156.0,506.0,2400.0,13.02479566,77.7086534
Kundalahalli Lake,2025,May,8.1,15.0,155.0,832.0,12000.0,12.96854049,77.72057586
Kowdhenahalli Tank,2025,May,6.5,29.0,198.0,220.0,7900.0,13.02076247,77.67591701
Garudacharpalya Tank,2025,May,7.0,8.0,88.0,416.0,9400.0,12.99262062,77.69630153
Rampura Lake,2025,May,7.0,6.0,55.0,420.0,7900.0,13.04831239,77.69012069
Chinnappanahalli Lake,2025,May,7.8,16.0,160.0,480.0,8400.0,12.96611529,77.70675679
Devarabeesanahalli Lake,2025,May,7.2,6.0,60.0,670.0,2800.0,12.9231047,77.68715487
Vibhuthipura Lake,2025,May,7.0,27.0,192.0,612.0,12000.0,12.9683535,77.67578051
Nallurahalli Lake,2025,May,7.3,5.0,60.0,318.0,3500.0,12.97468741,77.7354134
Pattandur Agrahara Lake,2025,May,7.4,4.0,48.0,322.0,46000.0,12.97655779,77.74570003
Seetharampalya Lake,2025,May,7.6,7.0,84.0,602.0,4800.0,12.98248112,77.71330594
Devasandra Lake,2025,May,7.3,25.0,176.0,376.0,49000.0,13.00543793,77.69382235
Sheelavanta-Whitefield Lake,2025,May,6.9,22.0,168.0,548.0,7900.0,12.96463102,77.74265937
Doddakannehalli Lake,2025,May,7.0,4.0,45.0,468.0,2400.0,12.91183624,77.6928301
Kasavanahalli Lake,2025,May,7.0,7.0,66.0,524.0,1500.0,12.90544792,77.66897823
Kammasandra Lake,2025,May,7.8,7.0,62.0,668.0,7000.0,12.949206,77.445416
Rayasandra Lake,2025,May,7.2,26.0,192.0,1070.0,79000.0,12.87037689,77.6779843
Chandapura Lake,2025,May,7.4,39.0,272.0,1124.0,170000.0,12.80573568,77.70537996
Ullalu Lake,2025,May,6.5,4.0,49.0,200.0,4800.0,12.9609124,77.4804805
Sompura Lake,2025,May,7.0,7.0,71.0,412.0,13000.0,12.87447508,77.49860778
Hosakerehalli Lake,2025,May,7.4,8.0,76.0,458.0,14000.0,12.92636311,77.53384359
Chinnakurchi Kere,2025,May,7.9,7.0,74.0,402.0,9400.0,12.82129367,77.46615876
Machohalli Lake,2025,May,6.8,26.0,180.0,784.0,2800.0,13.01318643,77.4546073
Kammagondanahalli Lake,2025,May,7.2,4.0,46.0,358.0,9400.0,13.06872462,77.52323601
Alur Lake,2025,May,7.0,6.0,62.0,218.0,1600.0,13.09743325,77.45848496
Basavanapura Lake,2025,May,7.2,5.0,50.0,420.0,1600.0,12.84453538,77.58927218
Kodi Singasandra Lake,2025,May,7.7,11.0,117.0,960.0,4300.0,12.88226483,77.6455833
Kothanuru Lake,2025,May,7.5,8.0,82.0,460.0,2200.0,12.87403308,77.58000279
Mangamanapalya Lake(Swarana Kunte),2025,May,8.5,6.0,56.0,666.0,2800.0,12.90269634,7.639448243
"Kannahalli Lake Kannahalli, Bengaluru",2025,May,6.6,4.0,40.0,340.0,6300.0,12.96824687,77.46185005
"Shettihalli Lake, Mallasandra Gudde
Lake Bengaluru",2025,May,7.0,9.0,104.0,898.0,3500.0,13.057,77.518
"Hoodi (Rajapalya Lake) Itpl Main
Road, Near Hoodi,Bengaluru",2025,May,6.5,16.0,120.0,242.0,49000.0,13.077881,77.408505
"Munekolalu Lake ,Marathahalli, East
Taluka ,Bengaluru",2025,May,7.0,18.0,164.0,402.0,5800.0,13.196563,77.498903
"Mahadevpuraã¢  Lake, K. R. Puram ,
Bangalore East Taluka",2025,May,7.1,5.0,64.0,338.0,13000.0,12.803323,77.436343
"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East",2025,May,7.0,17.0,148.0,514.0,9400.0,13.16113,77.342455
"Kannamangala Lake Hoskote Main
Road , Bengalore",2025,May,7.2,13.0,138.0,290.0,58000.0,13.013141,77.318332
"Kannur Lake Near By Hennur Road
Bengalore",2025,May,6.8,43.0,243.0,554.0,13000.0,13.021792,77.397238
"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram , Bengaluru",2025,May,7.1,14.0,150.0,310.0,11000.0,12.979048,77.462253
"Ulsoor Lake Near Kalyani,Bengaluru",2025,May,7.5,6.0,60.0,346.0,2800.0,12.98288947,77.62094479
"Byrasandra Upper Lake,Bengaluru",2025,May,6.7,39.0,184.0,502.0,9400.0,12.93065731,77.59565712
"Soulkere, Kaikondrahalli
Vill,Bengaluru",2025,May,7.2,25.0,155.0,440.0,2200.0,12.955863,77.568528
"Kudlu Doddakere, Kudlu
Vill,Bengaluru",2025,May,8.5,4.0,44.0,502.0,3500.0,13.068423,77.425856
"Kudlu Chikkakere, Bgp Layout Kudlu
Vill ,Bengaluru",2025,May,7.0,5.0,49.0,558.0,1700.0,13.09622,77.51678
"Doddathogur Lake , Doddathoguru
Vill,Bengaluru",2025,May,7.5,11.0,124.0,982.0,2400.0,13.026061,77.497652
"Anjanapura Lake ( Avala Halli Lake)
Anjanapura,Bengaluru",2025,May,7.5,7.0,66.0,462.0,4300.0,12.950463,77.343849
"Doddakammanahalli Lake, Doddakammanahalli Phase2, Tejaswini Nagar",2025,May,7.2,6.0,64.0,344.0,1700.0,12.811298,77.574871
"Basspura Lake, Aishwarya Crystal
Layout, Begur, Bengaluru",2025,May,8.5,7.0,68.0,566.0,2100.0,13.055412,77.488077
"Lower Amblipura Lake, Pwd Quarters,1St Sector, Hsr Layout Bengaluru",2025,May,8.2,6.0,64.0,538.0,3500.0,12.827277,77.555025
"Bhoganhalli Lake, Bhoganhalli,,
Bengaluru",2025,May,8.2,4.0,40.0,478.0,2200.0,12.803797,77.54465
"Parappana Agrahara Chikka Kere, Near Central Jail, Sai Sree Layout Parappana Agrahara,",2025,May,8.2,9.0,80.0,470.0,4300.0,13.004795,77.320073
"Vittasandra Lake, Vittasandra,",2025,May,8.4,4.0,45.0,324.0,2200.0,12.85804363,77.62274884
"Akshyanagara Lake, Akshyanagara
West, Bengaluru",2025,May,7.5,14.0,136.0,894.0,2800.0,13.073957,77.54661
"Yallenahalli Lake, Begur-Koppa Rd,
Akshayanagara, Bengaluru",2025,May,7.7,7.0,74.0,324.0,7900.0,13.081936,77.469271
Doddagubbi Lake,2025,May,8.0,29.0,196.0,1285.0,6300.0,13.0744063,77.67245104
Chikkagubi Lake,2025,May,8.2,21.0,157.0,1285.0,7000.0,13.07683052,77.673996
Vijanapura Lake,2025,May,7.7,5.0,55.0,354.0,2800.0,13.00925,77.676796
Cheemasandra,2025,May,7.0,6.0,60.0,816.0,8400.0,13.06569,77.723786
Leghumenahalli Lake,2025,May,7.8,27.0,180.0,680.0,14000.0,13.01979254,77.46222486
Varanasi Lake,2025,May,7.0,5.0,48.0,286.0,4300.0,13.026885,77.68704005
Panathur Lake,2025,May,7.4,4.0,41.0,384.0,2100.0,12.9321787,77.70710816
Garudacharpalya Lake-2,2025,May,8.1,6.0,56.0,396.0,7000.0,12.990651,77.69604
Mahadevapura Lake-2,2025,May,7.2,70.0,320.0,248.0,4300.0,12.987222,77.69263918
B- Narayannapura Lake-2,2025,May,7.0,14.0,152.0,260.0,2400.0,12.996508,77.6827584
Halnayakanahalli Lake,2025,May,7.6,5.0,49.0,388.0,2800.0,12.89981,77.691348
Ulsoor Lake Training Centre Of Fish Breeding,2025,April,7.0,4.0,44.0,320.0,3500.0,12.9825,77.6191
River Arkavathi At Tippagondanahalli Reservoir,2025,April,7.4,7.0,81.0,682.0,1400.0,12.966127,77.336189
Madiwala Tank,2025,April,7.5,17.0,121.0,502.0,3500.0,12.9734,77.3444
Lalbagh Tank,2025,April,8.0,8.0,84.0,442.0,4800.0,12.9069,77.6161
Kempambudhi Tank,2025,April,8.3,30.0,207.0,452.0,9400.0,12.9507,77.5844
Yediyur Tank,2025,April,6.7,6.0,63.0,214.0,3500.0,12.9575,77.5645
Ulsoor Lake Temple,2025,April,7.1,4.0,47.0,306.0,1200.0,12.9288,77.5794
Sankey Tank,2025,April,7.4,4.0,48.0,340.0,540.0,12.982,77.621
Byrasandra Tank,2025,April,7.0,5.0,55.0,316.0,17000.0,13.0064,77.5755
Nayandanahalli Tank,2025,April,8.3,7.0,78.0,614.0,3500.0,13.1162,77.5759
Hesaraghatta Lake,2025,April,6.7,4.0,38.0,220.0,1100.0,13.0415,77.6152
Herohalli Tank,2025,April,7.5,12.0,128.0,384.0,2200.0,13.1368,77.4851
Anchepalya Lake,2025,April,6.5,32.0,202.0,306.0,35000.0,13.0012,77.4842
Shivapura Tank,2025,April,6.7,19.0,156.0,790.0,9400.0,13.0456,77.4828
Bellandur Lake,2025,April,7.8,9.0,87.0,684.0,2200.0,13.0189,77.4912
Vengaiyyanakere( Kr Puram Lake ),2025,April,7.0,120.0,415.0,804.0,46000.0,13.01632597,77.6999225
Doddanekkundi Lake,2025,April,7.0,6.0,42.0,534.0,2400.0,13.0062,77.6811
Yelemallappa Shetty Lake,2025,April,8.5,39.0,296.0,646.0,48000.0,12.9714,77.6953
Dasarahalli Tank,2025,April,6.6,13.0,123.0,522.0,9400.0,13.0232,77.7288
Varthur Lake,2025,April,6.6,63.0,254.0,606.0,70000.0,13.0287,77.6685
Ibbalur Lake,2025,April,7.0,10.0,100.0,552.0,2100.0,12.922,77.666
Tubarahalli Tank,2025,April,8.5,5.0,48.0,458.0,3500.0,12.958187,77.725785
Kaikondanahalli Lake,2025,April,8.2,7.0,72.0,828.0,7900.0,12.91627,77.737065
Agaram Lake,2025,April,8.1,9.0,89.0,904.0,2200.0,12.921,77.641
Gottigere Lake,2025,April,6.8,4.0,40.0,564.0,540.0,12.8552,77.5878
Puttenahalli Lake,2025,April,6.5,5.0,56.0,408.0,920.0,12.8985,77.5849
Puttenahalli Lake,2025,April,6.5,5.0,56.0,408.0,920.0,12.89072263,77.5871604
Arakere Lake,2025,April,7.5,6.0,72.0,992.0,1300.0,12.8765,77.5991
Kalena Agrahara Lake,2025,April,6.7,8.0,84.0,446.0,2200.0,12.8624,77.5956
Singasandra Lake,2025,April,7.4,42.0,286.0,674.0,3500.0,12.8872,77.6493
Begur Tank,2025,April,7.4,5.0,48.0,968.0,3500.0,12.8814,77.6325
Parappana Agrahara Lake,2025,April,8.1,32.0,210.0,696.0,4300.0,12.8879,77.6591
Haralur Lake,2025,April,8.1,18.0,121.0,632.0,4300.0,12.89829,77.66142
Somasundrapalya Lake,2025,April,8.0,10.0,96.0,664.0,2800.0,12.89872064,77.64800365
Anekal Doddakere Tank,2025,April,7.2,6.0,56.0,668.0,2800.0,12.87466479,77.78340625
Puttenahalli Lake,2025,April,7.1,7.0,73.0,708.0,2800.0,12.8985,77.5849
Puttenahalli Lake,2025,April,7.1,7.0,73.0,708.0,2800.0,12.89072263,77.5871604
Hebbal Lake,2025,April,7.6,6.0,69.0,476.0,7900.0,13.04697661,77.58600905
Nagavara Lake,2025,April,7.7,5.0,65.0,478.0,12000.0,13.0449046,77.60895858
Jakkur Lake,2025,April,7.2,26.0,174.0,664.0,13000.0,13.08770697,77.61004718
Amruthahalli Lake,2025,April,7.9,5.0,52.0,734.0,58000.0,13.06138758,77.5987903
Allalasandra Lake,2025,April,7.1,23.0,153.0,638.0,70000.0,13.09078569,77.58580537
Yelahanka Tank,2025,April,7.3,7.0,82.0,610.0,11000.0,13.0901,77.5925
Subramanyapura Tank,2025,April,7.8,10.0,114.0,486.0,9400.0,12.89668663,77.54331633
Devarakere Tank,2025,April,7.4,7.0,76.0,230.0,7000.0,12.89808367,77.5543472
Malathahalli Lake,2025,April,7.9,8.0,98.0,512.0,2400.0,12.96467512,77.49507669
Hoskere Lake,2025,April,6.6,48.0,233.0,426.0,240.0,12.92672778,77.48054898
Yelachenahalli Lake,2025,April,7.4,7.0,69.0,400.0,2800.0,12.89926437,77.56547215
Kengeri Tank,2025,April,7.6,8.0,84.0,680.0,2800.0,12.91685922,77.48789417
Uttarahalli Doraikere,2025,April,6.6,39.0,197.0,386.0,350.0,12.90305626,77.55084832
Dhorekere Tank,2025,April,8.5,13.0,143.0,326.0,350.0,12.93017436,77.494945
Jigani Tank,2025,April,7.2,5.0,64.0,662.0,1700.0,12.79585704,77.63284772
Benniganahalli Lake,2025,April,7.8,6.0,68.0,356.0,4800.0,12.99772381,77.66545556
Gangondanahalli Lake,2025,April,7.2,12.0,132.0,1144.0,3500.0,12.99954081,77.4646815
Andhrahalli Lake,2025,April,7.3,25.0,161.0,854.0,16000.0,13.01026314,77.48646759
Kachohalli Lake,2025,April,7.6,8.0,87.0,1190.0,2200.0,13.01365684,77.45596987
Sarakki Lake,2025,April,8.0,5.0,56.0,716.0,1600.0,12.89941681,77.57913342
Nelamangala Lake,2025,April,7.1,5.0,56.0,908.0,1700.0,13.08073442,77.40002615
Abbigere Lake,2025,April,7.1,8.0,87.0,452.0,14000.0,13.0791175,77.52872073
Chelekere Lake,2025,April,7.9,4.0,40.0,750.0,4600.0,13.02641201,77.6449817
Singapura Lake,2025,April,7.9,9.0,88.0,598.0,17000.0,13.08266187,77.53568704
Narasipura Lake,2025,April,7.5,7.0,80.0,544.0,2400.0,13.07260237,77.55884035
Rachenahalli Lake,2025,April,7.8,16.0,132.0,696.0,14000.0,13.06365337,77.61270948
Kogilu Kere,2025,April,7.6,5.0,60.0,542.0,3500.0,13.11015107,77.61852742
Viswaneedam Lake,2025,April,7.4,16.0,161.0,964.0,28000.0,12.98884671,77.49016012
Ramammana Kere,2025,April,6.7,5.0,39.0,222.0,240.0,12.96089629,77.22799123
Sadaramangala Lake,2025,April,7.4,26.0,180.0,464.0,13000.0,12.99966199,77.72775764
Bhattarahalli Lake,2025,April,8.1,7.0,79.0,550.0,2400.0,13.02479566,77.7086534
Kundalahalli Lake,2025,April,8.5,7.0,76.0,736.0,7900.0,12.96854049,77.72057586
Kowdhenahalli Tank,2025,April,8.3,30.0,159.0,852.0,7900.0,13.02076247,77.67591701
Garudacharpalya Tank,2025,April,7.0,4.0,46.0,346.0,11000.0,12.99262062,77.69630153
Rampura Lake,2025,April,6.9,5.0,50.0,390.0,4300.0,13.04831239,77.69012069
Chinnappanahalli Lake,2025,April,7.8,7.0,68.0,516.0,9400.0,12.96611529,77.70675679
Devarabeesanahalli Lake,2025,April,7.8,7.0,84.0,584.0,3500.0,12.9231047,77.68715487
Vibhuthipura Lake,2025,April,6.6,54.0,220.0,576.0,460000.0,12.9683535,77.67578051
Nallurahalli Lake,2025,April,8.2,7.0,73.0,506.0,3500.0,12.97468741,77.7354134
Pattandur Agrahara Lake,2025,April,8.5,8.0,88.0,650.0,9400.0,12.97655779,77.74570003
Seetharampalya Lake,2025,April,8.1,15.0,114.0,798.0,14000.0,12.98248112,77.71330594
Devasandra Lake,2025,April,7.3,9.0,92.0,400.0,11000.0,13.00543793,77.69382235
Sheelavanta-Whitefield Lake,2025,April,7.2,7.0,68.0,342.0,2200.0,12.96463102,77.74265937
Doddakannehalli Lake,2025,April,7.6,11.0,97.0,624.0,2800.0,12.91183624,77.6928301
Kasavanahalli Lake,2025,April,7.3,6.0,64.0,712.0,3500.0,12.90544792,77.66897823
Kammasandra Lake,2025,April,7.6,6.0,60.0,472.0,6300.0,12.884483,77.327169
Rayasandra Lake,2025,April,7.2,30.0,240.0,1088.0,7900.0,12.87037689,77.6779843
Chandapura Lake,2025,April,6.9,5.0,56.0,1020.0,1200.0,12.80573568,77.70537996
Ullalu Lake,2025,April,6.6,52.0,258.0,532.0,49000.0,12.9609124,77.4804805
Sompura Lake,2025,April,7.7,29.0,192.0,504.0,2200.0,12.87447508,77.49860778
Hosakerehalli Lake,2025,April,6.5,27.0,184.0,534.0,3300.0,12.92636311,77.53384359
Chinnakurchi Kere,2025,April,7.8,5.0,52.0,364.0,14000.0,12.82129367,77.46615876
Machohalli Lake,2025,April,7.1,40.0,208.0,900.0,160000.0,13.01318643,77.4546073
Alur Lake,2025,April,6.6,4.0,36.0,224.0,540.0,13.09743325,77.45848496
Basavanapura Lake,2025,April,6.8,5.0,60.0,442.0,1200.0,12.84453538,77.58927218
Kodi Singasandra Lake,2025,April,8.1,38.0,259.0,702.0,2800.0,12.88226483,77.6455833
Kothanuru Lake,2025,April,7.0,6.0,64.0,898.0,1600.0,12.87403308,77.58000279
Mangamanapalya Lake(Swarana Kunte),2025,April,8.4,8.0,83.0,844.0,3500.0,12.90269634,7.639448243
"Kannahalli Lake Kannahalli, Bengaluru",2025,April,7.7,13.0,138.0,978.0,4800.0,12.96824687,77.46185005
"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru",2025,April,6.7,50.0,332.0,868.0,7900000.0,13.058,77.518
"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru",2025,April,6.7,8.0,80.0,502.0,4300.0,12.987,77.737
"Munekolalu Lake ,Marathahalli, East Taluka ,Bengaluru",2025,April,7.5,25.0,180.0,338.0,46000.0,12.973465,77.350554
"Mahadevpuraã¢  Lake, K. R. Puram , Bangalore East Taluka",2025,April,6.9,20.0,161.0,336.0,3500.0,12.86337,77.427884
"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East",2025,April,7.5,36.0,272.0,562.0,2400.0,13.030596,77.461197
"Kannamangala Lake Hoskote Main Road , Bengalore",2025,April,6.7,8.0,84.0,508.0,13000.0,13.02935241,77.77426959
Kannur Lake Near By Hennur Road Bengalore,2025,April,6.5,66.0,288.0,498.0,110000.0,13.1032445,77.66119409
"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram , Bengaluru",2025,April,7.5,5.0,44.0,344.0,2800.0,13.048403,77.511413
"Ulsoor Lake Near Kalyani,Bengaluru",2025,April,7.2,6.0,59.0,310.0,1300.0,12.98288947,77.62094479
"Byrasandra Upper Lake,Bengaluru",2025,April,7.1,5.0,50.0,298.0,920.0,12.93065731,77.59565712
"Soulkere, Kaikondrahalli Vill,Bengaluru",2025,April,7.9,7.0,128.0,620.0,4300.0,12.91856038,77.68025593
"Kudlu Doddakere, Kudlu Vill,Bengaluru",2025,April,8.2,26.0,192.0,702.0,2800.0,12.88376503,77.66439049
"Kudlu Chikkakere, Bgp Layout Kudlu Vill ,Bengaluru",2025,April,8.0,11.0,128.0,768.0,2200.0,12.89682592,77.6551178
"Doddathogur Lake , Doddathoguru Vill,Bengaluru",2025,April,8.0,5.0,60.0,500.0,2100.0,12.85689657,77.65979422
"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru",2025,April,6.5,7.0,76.0,406.0,2100.0,12.86550272,77.56632056
"Doddakammanahalli Lake, Doddakammanahalli Phase2, Tejaswini Nagar",2025,April,7.3,7.0,80.0,410.0,13000.0,13.193969,77.559019
"Basspura Lake, Aishwarya Crystal Layout, Begur, Bengaluru",2025,April,7.2,8.0,84.0,410.0,15000.0,13.165145,77.330317
"Lower Amblipura Lake, Pwd Quarters,1St Sector, Hsr Layout Bengaluru",2025,April,7.5,5.0,64.0,544.0,11000.0,13.146475,77.406389
"Bhoganhalli Lake, Bhoganhalli,, Bengaluru",2025,April,8.5,4.0,48.0,288.0,2400.0,12.92297445,77.69935186
"Parappana Agrahara Chikka Kere, Near Central Jail, Sai Sree Layout Parappana Agrahara,",2025,April,7.4,5.0,60.0,538.0,12000.0,13.120615,77.595857
"Vittasandra Lake, Vittasandra,",2025,April,7.6,4.0,40.0,540.0,3500.0,12.85804363,77.62274884
"Akshyanagara Lake, Akshyanagara West, Bengaluru",2025,April,7.3,8.0,88.0,428.0,24000.0,12.87179,77.614335
Yallenahalli Lake,2025,April,8.5,4.0,48.0,288.0,2400.0,12.926257,77.521347
